15582000000	15212000000
15582001000	15212501000
15582002000	15212502000
15582003000	15212503000
15582004000	15212504000
15582005000	15212505000
15582006000	15212506000
15582007000	15212507000
15582008000	15212508000
15582009000	15212509000
15582010000	15212510000
15582011000	15212511000
15582012000	15212512000
15582013000	15212513000
15582014000	15212514000
15582015000	15212515000
15582016000	15212516000
15582017000	15212517000
15582018000	15212518000
15582019000	15212519000
15582020000	15212520000
15582021000	15212521000
15582022000	15212522000
15582023000	15212523000
15582024000	15212524000
15582025000	15212525000
15583000000	15212000000
15583001000	15212526000
15583002000	15212527000
15583003000	15212528000
15583004000	15212529000
15583005000	15212530000
15583006000	15212531000
15583007000	15212532000
15583008000	15212533000
15583009000	15212534000
15583010000	15212535000
15583011000	15212536000
15583012000	15212537000
15583013000	15212538000
15583014000	15212539000
15583015000	15212540000
15583016000	15212541000
15583017000	15212542000
15583018000	15212543000
15583019000	15212544000
15583020000	15212545000
15583021000	15212546000
15583022000	15212547000
15583023000	15212548000
15583024000	15212549000
15583025000	15212550000
15583026000	15212551000
15583027000	15212552000
15583028000	15212553000
15583029000	15212554000
15583030000	15212555000
15583031000	15212556000
15583032000	15212557000
15583033000	15212558000
15583034000	15212559000
15583035000	15212560000
15583036000	15212561000
15584000000	15212000000
15584001000	15212562000
15584002000	15212563000
15584003000	15212564000
15584004000	15212565000
15584005000	15212566000
15584006000	15212567000
15584007000	15212568000
15584008000	15212569000
15584009000	15212570000
15584010000	15212571000
15584011000	15212572000
15584012000	15212573000
15584013000	15212574000
15584014000	15212575000
15584015000	15212576000
15584016000	15212577000
15584017000	15212578000
15584018000	15212579000
15584019000	15212580000
15584020000	15212581000
15584021000	15212582000
15584022000	15212583000
15584023000	15212584000
15584024000	15212585000
15584025000	15212586000
15584026000	15212587000
15584027000	15212588000
15584028000	15212589000
15584029000	15212590000
15584030000	15212591000
15584031000	15212592000
15584032000	15212593000
15584033000	15212594000
15584034000	15212595000
15584035000	15212596000
15584036000	15212597000
